Country,recovery_rate,baseline_2019,arrivals_2022,arrivals_2024,pct_2024_vs_2019,peace_index,cpi_index,gdp_china,exchange_rate,is_thailand,ln_cpi,ln_gdp_china,ln_exchange_rate,ln_baseline
Australia,55.766105544997934,1438666.0,89262.0,891550.0,61.970603322800436,1.536,144.3028096,13303.1482,4.748514750183076,0,4.971913936137747,9.495755992966135,1.5578318849786772,14.179226853299916
Cambodia,18.668551630523375,2361849.0,106875.0,547798.0,23.193608058770902,2.028,152.829,13303.1482,0.0017669445237535,0,5.029319649300383,9.495755992966135,-6.338503481862674,14.674955344822072
Indonesia,49.61953670685336,2072079.0,169378.0,1197534.0,57.793838941468934,1.857,172.7414443,13303.1482,0.0004538313813894,0,5.151795934937945,9.495755992966135,-7.697784835542729,14.544063009047807
Japan,70.79360092987635,9594394.0,189125.0,6981342.0,72.76480411373558,1.525,114.413781,13303.1482,0.0475383253312225,0,4.739821534977292,9.495755992966135,-3.046219044190909,16.076689527534658
Malaysia,112.82552670833982,3113915.0,212603.0,3725894.0,119.6530412679858,1.427,132.7695384,13303.1482,1.572339855437089,0,4.888614831212756,9.495755992966135,0.4525648636668083,14.951391334921327
Singapore,81.36896490879818,3627120.0,130868.0,3082218.0,84.97700655065175,1.339,133.1571962,13303.1482,5.385062490429582,0,4.8915303566125115,9.495755992966135,1.683628915077618,15.103949502912112
Thailand,58.12639188670664,11138658.0,258662.0,6733162.0,60.44859264015467,2.048,122.9988296,13303.1482,0.2038815146186103,1,4.812174839879991,9.495755992966135,-1.590216264566877,16.22593231842035
Viet Nam,62.228135212286396,5806425.0,124896.0,3738126.0,64.37913173768713,1.802,189.702668,13303.1482,0.0002977750464298,0,5.245457941154139,9.495755992966135,-8.119172234274897,15.5744756210255
