,Model_A_Coef,Model_A_SE,Model_A_Pval,Model_B_Coef,Model_B_SE,Model_B_Pval,Model_C_Coef,Model_C_SE,Model_C_Pval,Model_D_Coef,Model_D_SE,Model_D_Pval,Model_E_Coef,Model_E_SE,Model_E_Pval,Model_F_Coef,Model_F_SE,Model_F_Pval
const,4.557598399143682,3.6680234584144236,0.21723650681803797,,,,-6.872682258933876,3.043442310642846,0.02637830619663384,6.952612165530278,3.452263258675406,0.04697014158317314,,,,-6.201780870377459,3.375912582923766,0.06953735468801447
covid_dummy,-2.785004979157654,0.21521198263275915,0.0,,,,-3.565348875246125,0.21189402533904966,0.0,-2.708379804280471,0.20000634811430393,0.0,,,,-3.5599785820337817,0.22067852489883094,0.0
ln_cpi,0.6785953003446917,0.7928841351601723,0.3943249295733331,0.07958844759881532,0.627351777470179,0.8993786310026608,2.3721600891298116,1.2999584558623638,0.07138666981964814,1.7978331546980661,0.6967792767980688,0.011475249550102928,0.19896757510274907,0.8898960186590462,0.8236722179795997,2.089803169407539,1.0534494136364567,0.050362981678298446
ln_exchange_rate,0.9453528220157655,0.8759271844524824,0.28332433872229257,-0.11937912750389648,0.6525170039749578,0.8553167419543541,0.9218470561855473,1.0879712838946756,0.3990961159142228,,,,,,,,,
ln_gdp_china,0.5045039811002052,0.3142704561997237,0.11188880183623717,,,,1.1634540379983134,0.4037476342373205,0.004957620476202518,-0.3892390854461668,0.5478418921872477,0.47921399631161976,,,,1.1269034903838215,0.5553875913164766,0.045442091495278
ln_rer,,,,,,,,,,-1.4553444598696255,0.7410498197305851,0.0525942543029565,-0.119379127503949,0.6525170039749579,0.8553167419542913,0.15083470158919066,0.8507006558901151,0.8596705966036327
peace_index,2.060411664671451,1.1479579738937045,0.07599783404526494,0.5075142307536428,0.18655368176607223,0.008055140592533094,0.73821385885174,1.0220516851952604,0.47201212177112173,1.4140471054755497,1.0854291845990727,0.1959459279665534,0.5075142307536297,0.18655368176604917,0.008055140592527099,0.5412935955481354,0.9911061378870231,0.5863286387676174
post_covid,,,,,,,-1.8123241492281266,0.22678829225657626,4.5279335836312384e-12,,,,,,,-1.8303630786357634,0.251273178764378,1.2439715924017491e-10
thailand_post_covid,,,,,,,0.2650478200373769,0.15336070996096282,0.08740890651109146,,,,,,,0.2940011543587563,0.13633354042256565,0.03374229126575168
