Year,arrivals_from_china,gdp_china,exchange_rate,RER,CPI_destination,covid_dummy,post_covid,ln_arrivals,ln_gdp_china,ln_rer,ln_cpi
2000,704080.0,969.199514,0.2063831419368898,0.2710395823421878,77.35240025,0,0,13.464647265047693,6.8764704874977545,-1.3054904084649277,4.348371607565419
2001,694886.0,1065.40598,0.1862850789635374,0.2452936183625528,78.61085331,0,0,13.45150308231576,6.971111207382483,-1.4052993437,4.3645097727270326
2002,763139.0,1163.55958,0.192669551788786,0.2585005376020644,79.15901385,0,0,13.545195469297173,7.05923918899467,-1.3528575053373075,4.371458662976121
2003,624214.0,1306.97245,0.1995245627034017,0.2675399280647434,80.58731947,0,0,13.344248537276044,7.175468634595634,-1.3184864599913741,4.389341310460505
2004,779070.0,1530.92726,0.2057758097434494,0.2683538340009588,82.8108439,0,0,13.56585617960915,7.333628883098542,-1.3154488931464419,4.416559017791895
2005,761904.0,1777.64497,0.2037188829876739,0.2721620204297195,86.57076195,0,0,13.543575842480132,7.483044716720189,-1.3013577266785743,4.460962136736829
2006,1033305.0,2129.25697,0.2104509669860943,0.291050342103161,90.58545884,0,0,13.848272961056509,7.663528357468926,-1.2342590298548068,4.5062937017129325
2007,1003141.0,2734.7271,0.2203418566679444,0.2936284110296515,92.615969,0,0,13.81864663532908,7.913786929256092,-1.2254402191113147,4.528461578187987
2008,937358.0,3523.44302,0.2085563383550697,0.2712639349388868,97.68066353,0,0,13.750820558687803,8.167193921215857,-1.3046630024004302,4.581703622674546
2009,815708.0,3898.24459,0.1992284023132332,0.2590091239150132,96.85456244,0,0,13.611811726767856,8.268281625661812,-1.3508919904319787,4.573210497055266
2010,1132267.0,4629.24552,0.2136483944415944,0.2136483944415944,100.0,0,0,13.9397323756577,8.440149179158102,-1.5434236318204366,4.605170185988092
2011,1704800.0,5703.76028,0.2119590883881051,0.2087591709890673,103.8087906,0,0,14.348958359766545,8.64888093456302,-1.5665739833344334,4.642550655007246
2012,2761213.0,6405.05742,0.2029817389783479,0.2006152219708604,106.9385213,0,0,14.831180633898303,8.764843179161845,-1.606366524125532,4.672254102045147
2013,4609717.0,7147.03519,0.20008483593138,0.1971530361310731,109.2750063,0,0,15.34367702480216,8.874452890952085,-1.6237750186701927,4.693867698402087
2014,4631981.0,7781.06597,0.1897177222984229,0.1871062428953807,111.3459226,0,0,15.348495196326729,8.959448621925675,-1.6760786796345846,4.71264177516135
2015,7981407.0,8175.33285,0.1834487262475942,0.1769435704323005,110.3433361,0,0,15.892625269673664,9.008876710532927,-1.7319244083563223,4.703596742116244
2016,8779196.0,8254.86859,0.1881212570115183,0.1786682394830712,110.5509468,0,0,15.987895389664365,9.018558437390453,-1.7222246035413005,4.7054764717172555
2017,9846818.0,8979.67653,0.1990847853588493,0.1875995810571822,111.2868092,0,0,16.102658915272496,9.102719139489338,-1.673445475583177,4.712110735534686
2018,10625167.0,10085.6638,0.2045482459077365,0.1912360943957024,112.4707868,0,0,16.178735990298293,9.21887026874777,-1.6542465179610013,4.722693515034743
2019,11138658.0,10342.901,0.2225002484555509,0.2045587278123333,113.26565,0,0,16.22593231842035,9.244055669640996,-1.586900167160443,4.7297359446612806
2020,1302132.0,10627.4638,0.2206260656481112,0.196650480157886,112.3074938,1,0,14.079513479100275,9.271196853969792,-1.6263273384196004,4.721240589705037
2021,26558.0,12887.4357,0.2017319057500931,0.1807309943816562,113.68932,1,0,10.187086299550273,9.464008138982022,-1.7107455721209746,4.733469464946244
2022,258662.0,12970.6056,0.1919207320795304,0.1664178121579294,111.8581486,1,0,12.463277469097388,9.470440968587436,-1.7932537121055268,4.717231538210521
2023,3521095.0,12951.1782,0.2034613422004507,0.1910860112547065,121.3415403,0,1,15.074282578744524,9.468942043684173,-1.6550316315941767,4.798609216516326
2024,6733162.0,13303.1482,0.2038815146186103,0.193646236873856,122.9988296,0,1,15.722555427835026,9.495755992966135,-1.6417223058264787,4.812174839879991
