Country,Year,arrivals_from_china,gdp_china,exchange_rate,RER,peace_index,CPI_destination,covid_dummy,post_covid,is_thailand,thailand_post_covid,ln_arrivals,ln_gdp_china,ln_rer
Indonesia,2008,354641.0,3523.44302,0.0007163343501946,0.0008691361715484,1.668,91.11963773,0,0,0,0,12.778861289175843,8.167193921215857,-7.048010745839811
Indonesia,2009,444598.0,3898.24459,0.0006574341760958,0.0008393671400309,1.853,95.11652148,0,0,0,0,13.004925782076564,8.268281625661812,-7.0828623548040035
Indonesia,2010,511188.0,4629.24552,0.0007446949723975,0.0007446949723975,1.946,100.0,0,0,0,0,13.144492707591535,8.440149179158102,-7.20253585644879
Indonesia,2011,594997.0,5703.76028,0.0007369077164844,0.000736600428064,1.979,105.3560485,0,0,0,0,13.29631164249825,8.64888093456302,-7.213464972818533
Indonesia,2012,726088.0,6405.05742,0.00067215822504,0.0006825001160971,1.913,109.8647756,0,0,0,0,13.49542649858255,8.764843179161845,-7.289747860799533
Indonesia,2013,858140.0,7147.03519,0.000587674118938,0.0006195211195098,1.879,116.9098484,0,0,0,0,13.662522535322466,8.874452890952085,-7.386563766257767
Indonesia,2014,1052705.0,7781.06597,0.0005193333556562,0.000572168969678,1.853,124.38615,0,0,0,0,13.866873599919407,8.959448621925675,-7.4660762086719545
Indonesia,2015,1260700.0,8175.33285,0.0004692289369335,0.0005426525631242,1.768,132.3009907,0,0,0,0,14.047177680219361,9.008876710532927,-7.519041289736497
Indonesia,2016,1556771.0,8254.86859,0.0004989357490079,0.0005870882019332,1.799,136.9656651,0,0,0,0,14.258124362285596,9.018558437390453,-7.440335490593922
Indonesia,2017,2093171.0,8979.67653,0.000504968528912,0.000607939399846,1.85,142.1824114,0,0,0,0,14.554190698998587,9.102719139489338,-7.405435352271543
Indonesia,2018,2139161.0,10085.6638,0.0004642149626945,0.0005662029479374,1.853,146.7298991,0,0,0,0,14.575924254049191,9.21887026874777,-7.4765579787698275
Indonesia,2019,2072079.0,10342.901,0.0004882853032288,0.0005991667818122,1.785,151.1766728,0,0,0,0,14.544063009047807,9.244055669640996,-7.419970564861067
Indonesia,2020,239768.0,10627.4638,0.0004734675396762,0.0005789794648722,1.831,154.0790159,1,0,0,0,12.387427068133922,9.271196853969792,-7.454243547562201
